Name,Gender,DOB,Document_Type,Document_Number,Address,Name_clean,Address_clean,Gender_clean,Document_type_clean,Document_format,Combined_Data,Duplicate_Group_ID,Fraud_Risk_Score,Fraud_Risk_Level
Vedika Tailor,Other,13-01-1970,Aadhaar,1343 7482 1760,"32/95, Kumar Nagar, Mangalore-749370",vedika tailor,3295 kumar nagar mangalore749370,other,aadhaar,False,vedika tailor other 13011970 aadhaar 1343 7482 1760 3295 kumar nagar mangalore749370,-1,0.4,Medium
Kabir Yadav,Other,06-07-1991,Aadhaar,2703 7201 3370,"H.No. 79, Seshadri Nagar, Thoothukudi-427197",kabir yadav,hno 79 seshadri nagar thoothukudi427197,other,aadhaar,False,kabir yadav other 06071991 aadhaar 2703 7201 3370 hno 79 seshadri nagar thoothukudi427197,-1,0.4,Medium
Jiya Sidhu,Female,06-07-2001,Passport,K1845271,"397, Kohli Chowk, Durg 126281",jiya sidhu,397 kohli chowk durg 126281,female,passport,True,jiya sidhu female 06072001 passport K1845271 397 kohli chowk durg 126281,-1,0.0,Low
Misha Bansal,Male,14-01-1973,Aadhaar,7152 5199 3435,"996, Lanka Marg, Serampore 960170",misha bansal,996 lanka marg serampore 960170,male,aadhaar,False,misha bansal male 14011973 aadhaar 7152 5199 3435 996 lanka marg serampore 960170,-1,0.4,Medium
Miraya Wali,Other,18-09-1994,Passport,S9977934,"H.No. 974, Sarna Circle, Chandrapur 192062",miraya wali,hno 974 sarna circle chandrapur 192062,other,passport,True,miraya wali other 18091994 passport S9977934 hno 974 sarna circle chandrapur 192062,-1,0.0,Low
Manikya Sule,Other,24-04-1996,Passport,L7884364,,manikya sule,nan,other,passport,True,manikya sule other 24041996 passport L7884364 nan,-1,0.0,Low
Zeeshan Batta,Female,14-11-2005,PAN,JVNTB5488Z,"40, Mand Path, Arrah-099591",zeeshan batta,40 mand path arrah099591,female,pan,True,zeeshan batta female 14112005 pan JVNTB5488Z 40 mand path arrah099591,-1,0.0,Low
Khushi Jaggi,,07-09-1965,Aadhaar,6282 5747 6906,"61/494, Bhatt Nagar, Mahbubnagar-728576",khushi jaggi,61494 bhatt nagar mahbubnagar728576,nan,aadhaar,False,khushi jaggi nan 07091965 aadhaar 6282 5747 6906 61494 bhatt nagar mahbubnagar728576,-1,0.4,Medium
Vidur Swaminathan,Other,12-08-1993,Aadhaar,6760 9568 4437,"H.No. 72, Wali Ganj, Bhind 462030",vidur swaminathan,hno 72 wali ganj bhind 462030,other,aadhaar,False,vidur swaminathan other 12081993 aadhaar 6760 9568 4437 hno 72 wali ganj bhind 462030,-1,0.4,Medium
Aarna Mander,Male,20-05-1990,Aadhaar,4618 8949 8735,"34, Kale Marg, Mau 821750",aarna mander,34 kale marg mau 821750,male,aadhaar,False,aarna mander male 20051990 aadhaar 4618 8949 8735 34 kale marg mau 821750,-1,0.4,Medium
Tara Chanda,Other,25-02-1997,Passport,O8956027,"844, Chakraborty Path, Hazaribagh-741352",tara chanda,844 chakraborty path hazaribagh741352,other,passport,True,tara chanda other 25021997 passport O8956027 844 chakraborty path hazaribagh741352,-1,0.0,Low
Shalv Barad,Female,07-11-1982,PAN,SFUGB2148M,"96/90, Bhavsar Street, Kollam-787361",shalv barad,9690 bhavsar street kollam787361,female,pan,True,shalv barad female 07111982 pan SFUGB2148M 9690 bhavsar street kollam787361,-1,0.0,Low
Jivin Biswas,Female,05-05-1987,Aadhaar,3877 8841 1558,"74/28, Srinivas Nagar, Kadapa 249347",jivin biswas,7428 srinivas nagar kadapa 249347,female,aadhaar,False,jivin biswas female 05051987 aadhaar 3877 8841 1558 7428 srinivas nagar kadapa 249347,-1,0.4,Medium
,,01-05-2005,Passport,E4130878,"H.No. 539, Bora Nagar, Naihati-785586",nan,hno 539 bora nagar naihati785586,nan,passport,True,nan nan 01052005 passport E4130878 hno 539 bora nagar naihati785586,-1,0.0,Low
Ivan Mann,Female,23-11-2002,PAN,CCUFM1211O,"46/97, Kant Circle, Guwahati 758911",ivan mann,4697 kant circle guwahati 758911,female,pan,True,ivan mann female 23112002 pan CCUFM1211O 4697 kant circle guwahati 758911,-1,0.0,Low
Hazel Bava,Male,12-06-1968,Aadhaar,2622 1260 6351,"04/356, Chada Nagar, Navi Mumbai 853837",hazel bava,04356 chada nagar navi mumbai 853837,male,aadhaar,False,hazel bava male 12061968 aadhaar 2622 1260 6351 04356 chada nagar navi mumbai 853837,-1,0.4,Medium
Stuvan Upadhyay,Other,02-12-1992,Aadhaar,1840 7716 8804,"24/86, Batra Zila, Ambattur 521170",stuvan upadhyay,2486 batra zila ambattur 521170,other,aadhaar,False,stuvan upadhyay other 02121992 aadhaar 1840 7716 8804 2486 batra zila ambattur 521170,-1,0.4,Medium
Tara Din,Other,27-09-1975,Aadhaar,3179 4105 1935,"62, Issac Nagar, Bally-532842",tara din,62 issac nagar bally532842,other,aadhaar,False,tara din other 27091975 aadhaar 3179 4105 1935 62 issac nagar bally532842,-1,0.4,Medium
Samaira Sandal,Male,09-09-2001,PAN,JBTJS2262Z,"82/55, Jani Chowk, Navi Mumbai 732010",samaira sandal,8255 jani chowk navi mumbai 732010,male,pan,True,samaira sandal male 09092001 pan JBTJS2262Z 8255 jani chowk navi mumbai 732010,-1,0.0,Low
Himmat Buch,Male,29-05-1990,Aadhaar,4924 2560 1333,,himmat buch,nan,male,aadhaar,False,himmat buch male 29051990 aadhaar 4924 2560 1333 nan,-1,0.4,Medium
,Male,15-06-1979,Passport,D6947649,"565, D’Alia, Vadodara-184049",nan,565 dalia vadodara184049,male,passport,True,nan male 15061979 passport D6947649 565 dalia vadodara184049,-1,0.0,Low
Aarush Chanda,Female,22-04-1976,Aadhaar,9828 7986 1444,"02, Talwar Marg, Mirzapur 956667",aarush chanda,02 talwar marg mirzapur 956667,female,aadhaar,False,aarush chanda female 22041976 aadhaar 9828 7986 1444 02 talwar marg mirzapur 956667,-1,0.4,Medium
Renee Thakur,Female,17-10-1986,PAN,FGVJT0620Z,"25/376, Ramaswamy Marg, Hajipur 672995",renee thakur,25376 ramaswamy marg hajipur 672995,female,pan,True,renee thakur female 17101986 pan FGVJT0620Z 25376 ramaswamy marg hajipur 672995,-1,0.0,Low
Raghav Kulkarni,Female,25-02-2000,Passport,X4663134,,raghav kulkarni,nan,female,passport,True,raghav kulkarni female 25022000 passport X4663134 nan,-1,0.0,Low
Divij Borra,Female,07-12-1985,PAN,XCYAB3360F,"12/67, Bora Path, Dehri 862439",divij borra,1267 bora path dehri 862439,female,pan,True,divij borra female 07121985 pan XCYAB3360F 1267 bora path dehri 862439,-1,0.0,Low
Stuvan Swaminathan,Female,18-06-1982,PAN,CWYJS4621D,"87, Viswanathan Nagar, Cuttack 465479",stuvan swaminathan,87 viswanathan nagar cuttack 465479,female,pan,True,stuvan swaminathan female 18061982 pan CWYJS4621D 87 viswanathan nagar cuttack 465479,-1,0.0,Low
Saksham Kadakia,Female,20-06-1970,,Missing,"H.No. 660, Chada Chowk, Kozhikode 985859",saksham kadakia,hno 660 chada chowk kozhikode 985859,female,nan,False,saksham kadakia female 20061970 nan Missing hno 660 chada chowk kozhikode 985859,-1,0.4,Medium
Saira Dhingra,Female,01-04-1990,Aadhaar,6603 9515 5949,"26/345, Raman Circle, Dindigul-444224",saira dhingra,26345 raman circle dindigul444224,female,aadhaar,False,saira dhingra female 01041990 aadhaar 6603 9515 5949 26345 raman circle dindigul444224,-1,0.4,Medium
Kismat Kata,Other,20-02-1979,Passport,C2614464,"25, Bansal Chowk, Haridwar-400694",kismat kata,25 bansal chowk haridwar400694,other,passport,True,kismat kata other 20021979 passport C2614464 25 bansal chowk haridwar400694,-1,0.0,Low
Seher Dixit,Male,26-06-1977,Aadhaar,9552 3793 1102,"00/75, Ravi, Danapur 154565",seher dixit,0075 ravi danapur 154565,male,aadhaar,False,seher dixit male 26061977 aadhaar 9552 3793 1102 0075 ravi danapur 154565,-1,0.4,Medium
Kabir Balan,Male,12-07-1978,PAN,QJKLB8189Y,"56, Chhabra, Howrah 340189",kabir balan,56 chhabra howrah 340189,male,pan,True,kabir balan male 12071978 pan QJKLB8189Y 56 chhabra howrah 340189,-1,0.0,Low
Anahi Dhawan,Male,Unknown,PAN,VBRHD5367E,"533, Kamdar, Danapur 322189",anahi dhawan,533 kamdar danapur 322189,male,pan,True,anahi dhawan male Unknown pan VBRHD5367E 533 kamdar danapur 322189,-1,0.0,Low
Anaya Gola,Other,25-10-1974,Passport,O3197241,"H.No. 57, Varughese Chowk, Vijayawada-088742",anaya gola,hno 57 varughese chowk vijayawada088742,other,passport,True,anaya gola other 25101974 passport O3197241 hno 57 varughese chowk vijayawada088742,-1,0.0,Low
Armaan Sani,Male,17-02-1991,Aadhaar,1953 1655 4421,,armaan sani,nan,male,aadhaar,False,armaan sani male 17021991 aadhaar 1953 1655 4421 nan,-1,0.4,Medium
Ryan Grover,Male,Unknown,Passport,U7528467,"85/05, Chopra Path, Ichalkaranji-155308",ryan grover,8505 chopra path ichalkaranji155308,male,passport,True,ryan grover male Unknown passport U7528467 8505 chopra path ichalkaranji155308,-1,0.0,Low
Ryan Sampath,Female,26-10-1985,Aadhaar,9789 9126 5462,"21/279, Ghose Nagar, Ghaziabad 091847",ryan sampath,21279 ghose nagar ghaziabad 091847,female,aadhaar,False,ryan sampath female 26101985 aadhaar 9789 9126 5462 21279 ghose nagar ghaziabad 091847,-1,0.4,Medium
Rasha Vaidya,Male,06-03-1981,PAN,VYMBV6151H,"H.No. 224, Bhat Chowk, Kharagpur-568059",rasha vaidya,hno 224 bhat chowk kharagpur568059,male,pan,True,rasha vaidya male 06031981 pan VYMBV6151H hno 224 bhat chowk kharagpur568059,-1,0.0,Low
Nayantara Banerjee,Other,01-10-2007,PAN,PWSLB6558U,"544, Khare, Anantapuram 314677",nayantara banerjee,544 khare anantapuram 314677,other,pan,True,nayantara banerjee other 01102007 pan PWSLB6558U 544 khare anantapuram 314677,-1,0.0,Low
Indranil Chada,Male,30-09-1989,PAN,CRLJC7422K,"27, Ravi, Tadipatri-531742",indranil chada,27 ravi tadipatri531742,male,pan,True,indranil chada male 30091989 pan CRLJC7422K 27 ravi tadipatri531742,-1,0.0,Low
Badal Dube,Male,20-02-1995,PAN,YRSTD4768C,"H.No. 69, Bhatti Circle, Silchar 020521",badal dube,hno 69 bhatti circle silchar 020521,male,pan,True,badal dube male 20021995 pan YRSTD4768C hno 69 bhatti circle silchar 020521,-1,0.0,Low
